[2025-06-09 11:15:43] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 7, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-06-09T03:15:59.535000+00:00', 'pinned': False, 'nonce': '1381471798326984704', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-08T10:12:54.836000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1381471866731892746', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'online liao', 'components': [], 'channel_type': 0, 'channel_id': '1381214401045991553', 'author': {'username': 'lonely1438', 'public_flags': 256, 'primary_guild': {'tag': 'e308', 'identity_guild_id': '351476683016241162', 'identity_enabled': True, 'badge': '5410c0c04f21555354039fd700661550'}, 'id': '720985236028129301', 'global_name': 'м¢нιкσмαмє', 'discriminator': '0', 'collectibles': None, 'clan': {'tag': 'e308', 'identity_guild_id': '351476683016241162', 'identity_enabled': True, 'badge': '5410c0c04f21555354039fd700661550'}, 'avatar_decoration_data': {'sku_id': '1349486948942745695', 'expires_at': None, 'asset': 'a_44d96dca4f514777925f23d841f36fac'}, 'avatar': '865e08b5d24a54ea89b76fea859b6848'}, 'attachments': [], 'guild_id': '1381214400517640252'}}
[2025-06-09 11:15:43] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-09 11:15:43] [DEBUG   ] discord.client: Dispatching event message
[2025-06-09 11:15:50] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 8, 'op': 0, 'd': {'user_id': '705364115652083743', 'timestamp': 1749438966, 'member': {'user': {'username': 'antybiu', 'public_flags': 64, 'primary_guild': {'tag': 'CODE', 'identity_guild_id': '547906569489350657', 'identity_enabled': True, 'badge': '3858554c542da4e8e4b52ff00a558ced'}, 'id': '705364115652083743', 'global_name': 'antybiu', 'display_name': 'antybiu', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'e9e882a952e4c5d9baa76c0c9fae40e9'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-08T11:16:35.166000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1381214401045991553', 'guild_id': '1381214400517640252'}}
[2025-06-09 11:15:50] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-09 11:15:50] [DEBUG   ] discord.client: Dispatching event typing
[2025-06-09 11:15:50] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-06-09 11:15:52] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 9, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-06-09T03:16:08.115000+00:00', 'pinned': False, 'nonce': '1381471898180780032', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-08T11:16:35.166000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1381471902719152160', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!guess', 'components': [], 'channel_type': 0, 'channel_id': '1381214401045991553', 'author': {'username': 'antybiu', 'public_flags': 64, 'primary_guild': {'tag': 'CODE', 'identity_guild_id': '547906569489350657', 'identity_enabled': True, 'badge': '3858554c542da4e8e4b52ff00a558ced'}, 'id': '705364115652083743', 'global_name': 'antybiu', 'discriminator': '0', 'collectibles': None, 'clan': {'tag': 'CODE', 'identity_guild_id': '547906569489350657', 'identity_enabled': True, 'badge': '3858554c542da4e8e4b52ff00a558ced'}, 'avatar_decoration_data': None, 'avatar': 'e9e882a952e4c5d9baa76c0c9fae40e9'}, 'attachments': [], 'guild_id': '1381214400517640252'}}
[2025-06-09 11:15:52] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-09 11:15:52] [DEBUG   ] discord.client: Dispatching event message
[2025-06-09 11:15:52] [DEBUG   ] discord.client: Dispatching event command
